Time,Stock,Strategy,Side,Qty,Entry,Exit,Reason,Gross_INR,Kotak_Friction_INR,Net_PnL_INR,Max_DD_INR
2026-09-23 08:20:17,SBIN.NS,AMTE,SHORT,53,990.59,993.8,Timeout,-169.88,19.11,-188.99,-257.89
2026-09-23 08:21:13,SBIN.NS,AMTE,SHORT,53,990.59,993.9,Timeout,-175.18,19.11,-194.29,-257.89
2026-09-23 08:47:43,RELIANCE.NS,AMTE,SHORT,37,1246.45,1247.1,Timeout,-24.23,16.78,-41.01,-251.92
2026-09-23 08:47:53,RELIANCE.NS,AMTE,SHORT,37,1246.45,1247.1,Timeout,-24.23,16.78,-41.01,-237.12
2026-09-23 10:22:29,HDFCBANK.NS,AMTE,LONG,125,739.69,737.69,Stop Market,-250.0,33.56,-283.56,-338.63
2026-09-23 10:22:38,HDFCBANK.NS,AMTE,LONG,125,739.69,737.69,Stop Market,-250.0,33.56,-283.56,-338.63
2026-09-23 10:25:50,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:25:59,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:29:11,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:29:20,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:32:32,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:32:41,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:35:54,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:36:02,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:39:15,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:39:23,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:42:35,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 10:42:44,HDFCBANK.NS,AMTE,LONG,125,739.48,737.48,Stop Market,-250.0,33.55,-283.55,-312.15
2026-09-23 16:29:42,HDFCBANK.NS,AMTE,LONG,250,739.48,738.48,Stop Market,-250.0,66.31,-316.31,-623.44
2026-09-23 16:33:02,HDFCBANK.NS,AMTE,LONG,250,739.48,738.48,Stop Market,-250.0,66.31,-316.31,-623.44
2026-09-23 16:36:23,HDFCBANK.NS,AMTE,LONG,250,739.48,738.48,Stop Market,-250.0,66.31,-316.31,-623.44
2026-09-23 16:39:43,HDFCBANK.NS,AMTE,LONG,250,739.48,738.48,Stop Market,-250.0,66.31,-316.31,-623.44
2026-09-23 16:43:04,HDFCBANK.NS,AMTE,LONG,250,739.48,738.48,Stop Market,-250.0,66.31,-316.31,-623.44
2026-09-23 16:46:24,HDFCBANK.NS,AMTE,LONG,250,739.48,738.48,Stop Market,-250.0,66.31,-316.31,-623.44
